e = 0.0000, h = 0.3000, 1 significant voxels
e = 0.0000, h = 1.2000, 1 significant voxels
e = 0.0000, h = 0.5000, 1 significant voxels
e = 0.0000, h = 0.6000, 1 significant voxels
e = 0.0000, h = 0.8000, 1 significant voxels
e = 0.0000, h = 1.0000, 1 significant voxels
e = 0.0000, h = 0.1000, 1 significant voxels
e = 0.0000, h = 1.1000, 1 significant voxels
e = 0.0000, h = 1.8000, 1 significant voxels
e = 0.0000, h = 1.6000, 1 significant voxels
e = 0.0000, h = 0.9000, 1 significant voxels
e = 0.0000, h = 1.5000, 1 significant voxels
e = 0.0000, h = 0.7000, 1 significant voxels
e = 0.0000, h = 0.4000, 1 significant voxels
e = 0.1000, h = 0.3000, 2 significant voxels
e = 0.0000, h = 0.2000, 1 significant voxels
e = 0.0000, h = 1.4000, 1 significant voxels
e = 0.0000, h = 0.0000, 1 significant voxels
e = 0.0000, h = 1.3000, 1 significant voxels
e = 0.0000, h = 1.9000, 1 significant voxels
e = 0.1000, h = 0.4000, 2 significant voxels
e = 0.0000, h = 1.7000, 1 significant voxels
e = 0.1000, h = 0.1000, 2 significant voxels
e = 0.1000, h = 0.0000, 2 significant voxels
e = 0.1000, h = 0.2000, 2 significant voxels
e = 0.1000, h = 0.5000, 2 significant voxels
e = 0.1000, h = 1.0000, 2 significant voxels
e = 0.1000, h = 0.6000, 2 significant voxels
e = 0.1000, h = 0.7000, 2 significant voxels
e = 0.1000, h = 1.1000, 2 significant voxels
e = 0.1000, h = 0.8000, 2 significant voxels
e = 0.1000, h = 0.9000, 2 significant voxels
e = 0.1000, h = 1.4000, 2 significant voxels
e = 0.2000, h = 0.5000, 3 significant voxels
e = 0.2000, h = 0.6000, 3 significant voxels
e = 0.1000, h = 1.6000, 2 significant voxels
e = 0.1000, h = 1.7000, 2 significant voxels
e = 0.1000, h = 1.8000, 2 significant voxels
e = 0.2000, h = 0.0000, 2 significant voxels
e = 0.2000, h = 0.7000, 3 significant voxels
e = 0.2000, h = 1.2000, 3 significant voxels
e = 0.1000, h = 1.3000, 2 significant voxels
e = 0.1000, h = 1.5000, 2 significant voxels
e = 0.2000, h = 0.4000, 3 significant voxels
e = 0.2000, h = 1.3000, 4 significant voxels
e = 0.1000, h = 1.2000, 2 significant voxels
e = 0.2000, h = 0.2000, 2 significant voxels
e = 0.2000, h = 1.6000, 3 significant voxels
e = 0.2000, h = 1.4000, 4 significant voxels
e = 0.2000, h = 1.0000, 3 significant voxels
e = 0.2000, h = 0.1000, 2 significant voxels
e = 0.2000, h = 0.3000, 2 significant voxels
e = 0.2000, h = 0.8000, 3 significant voxels
e = 0.2000, h = 1.5000, 4 significant voxels
e = 0.1000, h = 1.9000, 2 significant voxels
e = 0.2000, h = 0.9000, 3 significant voxels
e = 0.3000, h = 0.3000, 1 significant voxels
e = 0.2000, h = 1.1000, 3 significant voxels
e = 0.2000, h = 1.8000, 3 significant voxels
e = 0.2000, h = 1.9000, 3 significant voxels
e = 0.2000, h = 1.7000, 3 significant voxels
e = 0.3000, h = 0.4000, 2 significant voxels
e = 0.3000, h = 0.7000, 3 significant voxels
e = 0.3000, h = 0.8000, 3 significant voxels
e = 0.3000, h = 0.9000, 5 significant voxels
e = 0.3000, h = 1.0000, 5 significant voxels
e = 0.3000, h = 1.8000, 9 significant voxels
e = 0.3000, h = 0.6000, 2 significant voxels
e = 0.3000, h = 0.5000, 2 significant voxels
e = 0.3000, h = 1.2000, 6 significant voxels
e = 0.3000, h = 1.3000, 6 significant voxels
e = 0.3000, h = 1.4000, 7 significant voxels
e = 0.4000, h = 1.0000, 2 significant voxels
e = 0.3000, h = 1.1000, 5 significant voxels
e = 0.3000, h = 1.9000, 9 significant voxels
e = 0.4000, h = 0.9000, 1 significant voxels
e = 0.3000, h = 1.5000, 8 significant voxels
e = 0.3000, h = 1.7000, 9 significant voxels
e = 0.4000, h = 1.2000, 4 significant voxels
e = 0.3000, h = 1.6000, 9 significant voxels
e = 0.4000, h = 1.1000, 3 significant voxels
e = 0.4000, h = 1.7000, 10 significant voxels
e = 0.4000, h = 1.3000, 5 significant voxels
e = 0.4000, h = 1.4000, 6 significant voxels
e = 0.4000, h = 1.6000, 10 significant voxels
e = 0.4000, h = 1.5000, 9 significant voxels
e = 0.4000, h = 1.8000, 10 significant voxels
e = 0.4000, h = 1.9000, 10 significant voxels
e = 0.5000, h = 1.5000, 2 significant voxels
e = 0.5000, h = 1.6000, 3 significant voxels
e = 0.5000, h = 1.8000, 6 significant voxels
e = 0.5000, h = 1.7000, 5 significant voxels
e = 0.5000, h = 1.9000, 9 significant voxels
