e = 0.0000, h = 0.0000, 1 significant voxels
e = 0.0000, h = 0.1000, 1 significant voxels
e = 0.0000, h = 0.2000, 1 significant voxels
e = 0.0000, h = 0.6000, 1 significant voxels
e = 0.0000, h = 0.4000, 1 significant voxels
e = 0.0000, h = 0.3000, 1 significant voxels
e = 0.0000, h = 0.5000, 1 significant voxels
e = 0.0000, h = 0.7000, 1 significant voxels
e = 0.0000, h = 0.9000, 1 significant voxels
e = 0.0000, h = 0.8000, 1 significant voxels
e = 0.0000, h = 1.1000, 1 significant voxels
e = 0.0000, h = 1.2000, 1 significant voxels
e = 0.0000, h = 1.3000, 1 significant voxels
e = 0.0000, h = 1.0000, 1 significant voxels
e = 0.0000, h = 1.4000, 1 significant voxels
e = 0.0000, h = 1.6000, 1 significant voxels
e = 0.0000, h = 1.7000, 1 significant voxels
e = 0.0000, h = 1.5000, 1 significant voxels
e = 0.0000, h = 1.8000, 1 significant voxels
e = 0.0000, h = 1.9000, 1 significant voxels
e = 0.1000, h = 0.1000, 2 significant voxels
e = 0.1000, h = 0.0000, 2 significant voxels
e = 0.1000, h = 0.2000, 2 significant voxels
e = 0.1000, h = 0.4000, 2 significant voxels
e = 0.1000, h = 0.3000, 2 significant voxels
e = 0.1000, h = 0.7000, 2 significant voxels
e = 0.1000, h = 0.8000, 2 significant voxels
e = 0.1000, h = 0.9000, 2 significant voxels
e = 0.1000, h = 1.0000, 2 significant voxels
e = 0.1000, h = 1.4000, 2 significant voxels
e = 0.1000, h = 1.1000, 2 significant voxels
e = 0.1000, h = 1.3000, 2 significant voxels
e = 0.1000, h = 0.5000, 2 significant voxels
e = 0.1000, h = 0.6000, 2 significant voxels
e = 0.1000, h = 1.2000, 2 significant voxels
e = 0.2000, h = 0.0000, 5 significant voxels
e = 0.1000, h = 1.6000, 2 significant voxels
e = 0.1000, h = 1.8000, 2 significant voxels
e = 0.1000, h = 1.9000, 2 significant voxels
e = 0.1000, h = 1.5000, 2 significant voxels
e = 0.1000, h = 1.7000, 2 significant voxels
e = 0.2000, h = 0.1000, 5 significant voxels
e = 0.2000, h = 0.2000, 5 significant voxels
